date,rate
2020-01-02,2.25
2020-01-03,2.1
2020-01-06,2.1
2020-01-07,2.08
2020-01-08,2.08
2020-01-09,2.07
2020-01-10,2.15
2020-01-13,2.15
2020-01-14,1.9
2020-01-15,1.9
2020-01-16,1.92
2020-01-17,1.92
2020-01-20,1.97
2020-01-21,1.97
2020-01-22,2.05
2020-01-23,2.03
2020-01-24,2.04
2020-01-29,2.09
2020-01-30,2.2
2020-01-31,2.23
2020-02-03,2.25
2020-02-04,2.13
2020-02-05,1.98
2020-02-06,1.9
2020-02-07,1.89
2020-02-10,1.86
2020-02-11,1.83
2020-02-12,1.79
2020-02-13,1.73
2020-02-14,1.76
2020-02-17,1.75
2020-02-18,1.77
2020-02-19,1.74
2020-02-20,1.7
2020-02-21,1.65
2020-02-24,1.65
2020-02-25,1.69
2020-02-26,1.67
2020-02-27,1.66
2020-02-28,1.65
2020-03-02,1.61
2020-03-03,1.55
2020-03-04,1.47
2020-03-05,1.25
2020-03-06,1.17
2020-03-09,1.09
2020-03-10,1.07
2020-03-11,1
2020-03-12,1
2020-03-13,1.05
2020-03-16,1.2
2020-03-17,1.4
2020-03-18,1.63
2020-03-19,1.73
2020-03-20,1.81
2020-03-23,1.82
2020-03-24,1.86
2020-03-25,1.95
2020-03-26,2.01
2020-03-27,2.01
2020-03-30,2.02
2020-03-31,2.02
2020-04-01,1.85
2020-04-02,1.75
2020-04-03,1.82
2020-04-06,1.7
2020-04-07,1.63
2020-04-08,1.68
2020-04-09,1.64
2020-04-14,1.61
2020-04-15,1.59
2020-04-16,1.57
2020-04-17,1.59
2020-04-20,1.54
2020-04-21,1.59
2020-04-22,1.56
2020-04-23,1.54
2020-04-24,1.52
2020-04-27,1.46
2020-04-28,1.1
2020-04-29,1
2020-05-04,1.03
2020-05-05,0.8
2020-05-06,0.8
2020-05-07,0.8
2020-05-08,0.8
2020-05-11,0.7
2020-05-12,0.7
2020-05-13,0.69
2020-05-14,0.69
2020-05-15,0.6
2020-05-18,0.6
2020-05-19,0.55
2020-05-20,0.6
2020-05-21,0.61
2020-05-22,1.03
2020-05-25,1.11
2020-05-26,0.98
2020-05-27,0.96
2020-05-28,1.03
2020-05-29,1.03
2020-06-01,0.9
2020-06-02,0.85
2020-06-03,0.85
2020-06-04,0.75
2020-06-05,0.8
2020-06-08,0.7
2020-06-09,0.7
2020-06-10,0.65
2020-06-11,0.5
2020-06-12,0.5
2020-06-15,0.5
2020-06-16,0.42
2020-06-17,0.4
2020-06-18,0.38
2020-06-19,0.41
2020-06-22,0.35
2020-06-23,0.45
2020-06-24,0.45
2020-06-26,0.47
2020-06-29,0.44
2020-06-30,0.44
2020-07-02,0.44
2020-07-03,0.43
2020-07-06,0.42
2020-07-07,0.43
2020-07-08,0.38
2020-07-09,0.41
2020-07-10,0.4
2020-07-13,0.3
2020-07-14,0.28
2020-07-15,0.28
2020-07-16,0.28
2020-07-17,0.28
2020-07-20,0.26
2020-07-21,0.24
2020-07-22,0.24
2020-07-23,0.25
2020-07-24,0.25
2020-07-27,0.24
2020-07-28,0.24
2020-07-29,0.24
2020-07-30,0.24
2020-07-31,0.24
2020-08-03,0.2
2020-08-04,0.24
2020-08-05,0.25
2020-08-06,0.23
2020-08-07,0.23
2020-08-10,0.23
2020-08-11,0.23
2020-08-12,0.22
2020-08-13,0.22
2020-08-14,0.18
2020-08-17,0.22
2020-08-18,0.17
2020-08-19,0.22
2020-08-20,0.22
2020-08-21,0.23
2020-08-24,0.23
2020-08-25,0.25
2020-08-26,0.24
2020-08-27,0.25
2020-08-28,0.32
2020-08-31,0.37
2020-09-01,0.43
2020-09-02,0.42
2020-09-03,0.42
2020-09-04,0.42
2020-09-07,0.4
2020-09-08,0.39
2020-09-09,0.38
2020-09-10,0.38
2020-09-11,0.38
2020-09-14,0.37
2020-09-15,0.39
2020-09-16,0.38
2020-09-17,0.4
2020-09-18,0.45
2020-09-21,0.5
2020-09-22,0.5
2020-09-23,0.52
2020-09-24,0.51
2020-09-25,0.43
2020-09-28,0.47
2020-09-29,0.48
2020-09-30,0.48
2020-10-05,0.46
2020-10-06,0.44
2020-10-07,0.44
2020-10-08,0.38
2020-10-09,0.4
2020-10-12,0.36
2020-10-14,0.35
2020-10-15,0.3
2020-10-16,0.32
2020-10-19,0.35
2020-10-20,0.4
2020-10-21,0.4
2020-10-22,0.43
2020-10-23,0.44
2020-10-27,0.37
2020-10-28,0.43
2020-10-29,0.41
2020-10-30,0.4
2020-11-02,0.35
2020-11-03,0.22
2020-11-04,0.2
2020-11-05,0.26
2020-11-06,0.1
2020-11-09,0.17
2020-11-10,0.15
2020-11-11,0.14
2020-11-12,0.05
2020-11-13,0.11
2020-11-16,0.1
2020-11-17,0.1
2020-11-18,0.1
2020-11-19,0.09
2020-11-20,0.09
2020-11-23,0.04
2020-11-24,0.09
2020-11-25,0.09
2020-11-26,0.09
2020-11-27,0.1
2020-11-30,0.11
2020-12-01,0.14
2020-12-02,0.18
2020-12-03,0.2
2020-12-04,0.2
2020-12-07,0.21
2020-12-08,0.22
2020-12-09,0.24
2020-12-10,0.24
2020-12-11,0.24
2020-12-14,0.25
2020-12-15,0.25
2020-12-16,0.26
2020-12-17,0.26
2020-12-18,0.26
2020-12-21,0.26
2020-12-22,0.25
2020-12-23,0.24
2020-12-24,0.25
2020-12-28,0.23
2020-12-29,0.21
2020-12-30,0.19
2020-12-31,0.18
2021-01-04,0.1
2021-01-05,0.1
2021-01-06,0.13
2021-01-07,0.11
2021-01-08,0.11
2021-01-11,0.11
2021-01-12,0.11
2021-01-13,0.11
2021-01-14,0.1
